Date,QQQ,ASTS,BRK/B,CBOE,COIN,DDOG,GOOGL,HOOD,INTU,JEPQ,MDB,MELI,META,MSFT,MSTR,NBIS,NET,PATH,PLTR,QQQM,RDDT,SGOV,SHOP,SMCI,SNAP,SNOW,TQQQ,ULTY,WIX,XYZ
2023-08-16,358.0345153808594,3.630000114440918,354.1099853515625,148.98666381835938,79.0,90.5999984741211,127.9327392578125,10.1899995803833,489.5121154785156,38.994895935058594,358.8299865722656,1247.43994140625,292.684326171875,316.1622009277344,36.96699905395508,,60.849998474121094,15.289999961853027,15.449999809265137,147.13296508789062,,91.5086898803711,55.34000015258789,25.37299919128418,9.15999984741211,149.69000244140625,36.820003509521484,,89.55999755859375,57.4900016784668
2023-08-17,354.1236877441406,3.9000000953674316,353.19000244140625,148.77806091308594,75.55999755859375,90.29000091552734,129.1454620361328,10.069999694824219,480.42608642578125,38.624996185302734,351.1700134277344,1196.56005859375,283.53448486328125,312.6887512207031,34.67900085449219,,58.310001373291016,14.569999694824219,14.149999618530273,145.53468322753906,,91.54512786865234,53.220001220703125,24.4060001373291,9.039999961853027,146.94000244140625,35.57484436035156,,87.16000366210938,56.099998474121094
2023-08-18,353.6793212890625,3.8499999046325684,352.55999755859375,149.11578369140625,73.19000244140625,93.62999725341797,126.70013427734375,10.25,479.9421081542969,38.57568359375,350.8299865722656,1199.5899658203125,281.7045593261719,312.2940673828125,32.86199951171875,,58.97999954223633,14.819999694824219,14.399999618530273,145.3373565673828,,91.5542221069336,53.13999938964844,24.354999542236328,9.180000305175781,147.6300048828125,35.40946960449219,,87.02999877929688,56.880001068115234
2023-08-21,359.3775634765625,3.9000000953674316,352.0899963378906,149.58262634277344,75.27999877929688,94.69000244140625,127.60469818115234,10.390000343322754,482.2136535644531,39.12640380859375,358.6000061035156,1228.510009765625,288.3182373046875,317.6225891113281,33.525001525878906,,58.56999969482422,15.100000381469727,14.5,147.7446746826172,,91.5633544921875,53.93000030517578,25.263999938964844,9.359999656677246,151.8800048828125,37.1215705871582,,88.26000213623047,57.560001373291016
2023-08-22,358.86407470703125,3.7699999809265137,350.57000732421875,148.78799438476562,74.9000015258789,93.69000244140625,128.31048583984375,10.380000114440918,481.8581237792969,39.085323333740234,362.0400085449219,1242.72998046875,286.03082275390625,318.1949157714844,32.95100021362305,,59.79999923706055,15.289999961853027,14.670000076293945,147.49803161621094,,91.57247161865234,53.959999084472656,25.80900001525879,9.25,152.5800018310547,36.95620346069336,,90.4800033569336,56.06999969482422
2023-08-23,364.5227966308594,3.7699999809265137,354.260009765625,149.11578369140625,77.77999877929688,95.44000244140625,131.58087158203125,10.5,494.6575927734375,39.611385345458984,370.739990234375,1258.8699951171875,292.63458251953125,322.67486572265625,34.63999938964844,,63.11000061035156,15.399999618530273,15.300000190734863,149.86590576171875,,91.59980773925781,56.72999954223633,27.76099967956543,9.239999771118164,155.6999969482422,38.697486877441406,,91.56999969482422,57.220001220703125
2023-08-24,356.73095703125,3.690000057220459,354.29998779296875,147.8741455078125,73.66000366210938,91.8499984741211,129.00631713867188,10.369999885559082,492.3268127441406,38.8715934753418,360.75,1215.31005859375,285.1854553222656,315.7378845214844,33.65599822998047,,59.900001525878906,14.640000343322754,14.140000343322754,146.59034729003906,,91.63624572753906,55.459999084472656,26.25,9.369999885559082,147.6699981689453,36.148780822753906,,90.5999984741211,55.630001068115234
2023-08-25,359.4961242675781,3.75,355.92999267578125,150.21835327148438,74.26000213623047,92.5999984741211,129.10569763183594,10.539999961853027,512.6223754882812,39.19217300415039,363.4599914550781,1237.8399658203125,283.9422607421875,318.7080993652344,33.60499954223633,,62.20000076293945,15.029999732971191,14.529999732971191,147.80386352539062,,91.64537048339844,55.540000915527344,25.395999908447266,9.25,152.5500030517578,37.00483703613281,,92.4800033569336,55.86000061035156
2023-08-28,362.2020263671875,4.0,355.54998779296875,150.66534423828125,73.70999908447266,92.54000091552734,130.22897338867188,10.550000190734863,512.4446411132812,39.39765548706055,354.32000732421875,1249.4599609375,288.67633056640625,319.4185485839844,34.4370002746582,,61.83000183105469,15.079999923706055,14.640000343322754,148.92861938476562,,91.66357421875,56.310001373291016,25.516000747680664,9.449999809265137,148.75,37.83170700073242,,92.41000366210938,55.869998931884766
2023-08-29,370.112548828125,4.03000020980835,358.2900085449219,149.26478576660156,84.69999694824219,93.80999755859375,133.76776123046875,11.020000457763672,529.846435546875,40.00592803955078,367.3800048828125,1304.6600341796875,296.36407470703125,324.06622314453125,38.152000427246094,,63.22999954223633,15.640000343322754,15.399999618530273,152.08575439453125,,91.68180084228516,58.79999923706055,26.163000106811523,9.890000343322754,153.3000030517578,40.244224548339844,,93.87000274658203,57.7599983215332
2023-08-30,372.1764831542969,3.9600000381469727,361.05999755859375,149.43426513671875,83.83000183105469,94.16000366210938,135.06996154785156,11.0600004196167,533.8858032226562,40.186767578125,375.5199890136719,1343.1300048828125,293.4898986816406,324.4411926269531,37.167999267578125,,64.41000366210938,15.609999656677246,16.329999923706055,153.00331115722656,,91.68180084228516,60.0099983215332,26.79199981689453,10.119999885559082,155.33999633789062,40.91544723510742,,96.55999755859375,57.720001220703125
2023-08-31,373.2925109863281,3.9200000762939453,360.20001220703125,149.25482177734375,79.5999984741211,96.4800033569336,135.35821533203125,10.890000343322754,535.1004638671875,40.27719497680664,381.29998779296875,1372.3599853515625,294.2756042480469,323.4248352050781,35.75299835205078,,65.02999877929688,15.8100004196167,14.979999542236328,153.34861755371094,,91.72736358642578,66.48999786376953,27.507999420166016,10.350000381469727,156.85000610351562,41.285099029541016,,98.7699966430664,57.650001525878906
